id,frequency,benefit,title,tags,duration_hours,status,youtube_url,notes
01,40Hz,Deep Focus,"40Hz Gamma Waves | Deep Focus & Concentration | 3 Hours","binaural beats, 40hz, gamma waves, focus music, study music, concentration, brain waves, deep focus, binaural beats focus, study binaural beats",3,ready,,
02,432Hz,Deep Sleep,"432Hz Deep Sleep | Delta Waves | Full Night Healing | 8 Hours","432hz, deep sleep music, delta waves, sleep frequency, binaural beats sleep, healing sleep, sleep music, 432hz sleep, overnight healing",8,ready,,
03,528Hz,Healing,"528Hz Miracle Tone | Full Body Healing Frequency | 3 Hours","528hz, miracle tone, healing frequency, solfeggio, 528hz healing, binaural beats healing, cell regeneration, DNA repair frequency",3,ready,,
04,7.83Hz,Earth Grounding,"7.83Hz Schumann Resonance | Return to Earth | 3 Hours","7.83hz, schumann resonance, earth frequency, grounding, earth healing, schumann grounding, binaural beats grounding, earth resonance meditation",3,ready,,
05,10Hz,Alpha Calm,"10Hz Alpha Waves | Calm Mind | Stress & Anxiety Relief | 3 Hours","10hz, alpha waves, alpha frequency, calm music, anxiety relief, stress relief, alpha binaural beats, relaxation frequency, calm brain waves",3,ready,,
06,4Hz,Theta Meditation,"4Hz Theta Waves | Deep Meditation & Creativity | 3 Hours","4hz, theta waves, theta binaural beats, deep meditation, creativity, meditation frequency, theta meditation, theta brain waves",3,ready,,
07,963Hz,Pineal,"963Hz Pineal Gland | Crown Chakra | Spiritual Awakening | 3 Hours","963hz, pineal gland, crown chakra, spiritual awakening, solfeggio frequencies, 963hz frequency, divine frequency, spiritual meditation",3,ready,,
08,174Hz,Pain Relief,"174Hz | Natural Anesthetic | Pain & Tension Release | 3 Hours","174hz, pain relief, natural anesthetic, solfeggio, tension release, healing frequency, 174hz solfeggio, body healing frequency",3,ready,,
09,396Hz,Fear Release,"396Hz | Release Fear & Guilt | Root Chakra Reset | 3 Hours","396hz, fear release, guilt release, root chakra, liberation frequency, solfeggio, 396hz healing, emotional release frequency",3,ready,,
10,639Hz,Heart Chakra,"639Hz | Open Your Heart | Love & Connection Frequency | 3 Hours","639hz, heart chakra, love frequency, connection, solfeggio, 639hz healing, emotional healing, heart frequency",3,ready,,
11,40Hz,Study,"40Hz Gamma | Study Music | No Distractions | 2 Hours Pomodoro","40hz, gamma study, study music, pomodoro, focus music, no distraction, gamma binaural beats, study frequency",2,ready,,
12,852Hz,Third Eye,"852Hz Third Eye | Intuition & Inner Sight | 3 Hours","852hz, third eye, intuition, inner sight, solfeggio, 852hz frequency, third eye meditation, spiritual frequency",3,ready,,
13,2Hz,Delta Sleep,"2Hz Delta Waves | Deepest Sleep | Full Night 8 Hours","2hz, delta waves, delta sleep, deep sleep binaural beats, 2hz sleep, sleep frequency, rem sleep, deep delta",8,ready,,
14,528Hz,Morning,"528Hz Morning Activation | Rise & Heal | 1 Hour","528hz, morning healing, morning activation, morning meditation, 528hz morning, daily healing, positive energy morning",1,ready,,
15,40Hz,ADHD,"40Hz Gamma | ADHD Focus | Brain Training Frequency | 2 Hours","40hz, adhd focus, adhd music, gamma waves adhd, brain training, focus adhd, binaural beats adhd, concentration adhd",2,ready,,
